Datetime,Tweet Id,Text,Username
2022-09-20 18:58:25+00:00,1572299155296378880,#UrsulaVonDerLeyen #ConflitsDInterets #Justice #StopVaccination https://t.co/97Um10oGix,DuretIngrid
2022-09-20 14:17:48+00:00,1572228535577907200,"#StoptheShots 
#Stopvaccination 
#JusticePourLesSuspendus",Patricia13v
2022-09-20 12:29:30+00:00,1572201282458505217,#VaccineDeaths #pfizerdocuments #StopVaccination https://t.co/SmQjLNaBAD,pilestra1
2022-09-20 12:24:23+00:00,1572199994664407042,#StopVaccination https://t.co/1lZCvufvyo,pilestra1
2022-09-20 05:07:34+00:00,1572090066595631104,"#stopvaxcovid #stopvaccination
#StopDictadurasanitaria https://t.co/d4jLiT9nZ0",vero6993
2022-09-17 05:54:11+00:00,1571014632369979393,"@Nasti_st @JorgeSimon94 À ce niveau de surplus de morts sans causes autres que l'inoculation de masse récente, une étude sérieuse menée nationalement devrait être mise en place par les divers organismes de surveillance de la Santé.
Au lieu de ça...Rien n'est fait.
#StopVaccination",Fernand_NAUDIN1
2022-09-17 03:53:08+00:00,1570984169249058817,"@_chAyA_ @KanchiMatham @govardhanmath @ahobilamutt @VelukkudiK @IskconInc @ishafoundation @rkmbelurmath @SriSri @RadharamnDas @dushyanthsridar @svembu @SendalankaraJyr Please share your thoughts @Bharathgyan @agniveer @raksha_gau and don't go silent here. 
#saveourcows 
#StopVaccination",DeeEternalOpt
2022-09-16 07:25:07+00:00,1570675129247739905,"#Pfizer
#URGENT 
#StopVaccination

🆘️🆘️💣💣💣💣💣💣💣💣💣🆘️🆘️
UNE ANCIENNE EMPLOYÉE DE PFIZER LANCE UNE BOMBE.
(KAREN KINGSTON).

Partagez pour sauver des Vies !
Nous devons noyer Tweeter de cette information capitale !
La chute de la Cabale !

https://t.co/jFtqR6WDPn",CrimeVaccinal
2022-09-15 17:47:46+00:00,1570469437291089922,"BOUM ☄️quand je pense que l'on m'a traité de complotiste 🤣🤣🤣
Je plains les #vaccine 
#COVID19 #mensongedEtat #stopvaccination https://t.co/eQs1YEEhCR https://t.co/6TtyyqylEo",Jean_Se67
2022-09-15 14:29:37+00:00,1570419569553989633,#Le4Octobre🕊 🔥RT🔥👇@Resistance_SM  #OperationSauverLesEnfants🕊#ManifPacifique🕊#DevantAssembléeNationale🕊#Médias🕊#PalaisDeJustice🕊#Mairie🕊#StopPassVaccination🕊#StopVaccination🕊#SortirDeUE🕊#RéintégrationDesSuspendues🕊#RetraiteSmicRevoir🕊#Art68Macron🕊#H24Mobiliser🕊 https://t.co/XOChKgOT3O,Resistance_SM
