Datetime,Tweet Id,Text,Username
2022-09-20 23:56:59+00:00,1572374291379007488,@jodyvance @KayceeMaduYEG I got my fourth shot last Friday! It’s a combo that includes the new BA5 variant. A’ho!🪶👊🏽🇨🇦 #GetVaccinated #ThanksTrudeau #CovidIsNotOver https://t.co/ifVwf5Rt6m,ThoughtsNations
2022-09-20 23:27:09+00:00,1572366786858987523,"Well crud! It was so busy today, I just now realized I didn’t post the regular #Tuesday boring #Selfie… #BetterLateThanNever 

#StaySafe #GetVaccinated #GetBoosted #MaskTogetherAmerica #MaskWithUs #CovidIsStillOutThere #ElMagnifico https://t.co/0OtEtnFhCa",ElMagnifico5000
2022-09-20 23:27:01+00:00,1572366752050458624,@POTUS Covid Is Not Over! the Pandemic is NOT over!  #WearAMask #CovidIsNotOver #GetVaccinated #GetBoosted #PandemicIsNotOver https://t.co/7qRXXgLn1z,soapdemon34
2022-09-20 23:10:02+00:00,1572362476607639558,"Kids 6 months+ can now receive safe &amp; effective COVID-19 vaccines. Talk to your child’s doctor &amp; help them #GetVaccinated
Visit https://t.co/NeoGk5P09b or call 833-422-4255 to find a vaccine near you. https://t.co/rOm8XgmBbd",commadvocoalit
2022-09-20 23:00:14+00:00,1572360009849180162,"When to Get Your #Flu Shot for 2022/2023 
with #NFID Vice President @kathleen_neuzil via @Verywell https://t.co/M9EG4c9Tcy 

#GetVaccinated to help #FightFlu https://t.co/iJYdNXzkDB",NFIDvaccines
2022-09-20 22:45:13+00:00,1572356233784627201,"Look at the COVID deaths in the unvaccinated vs. vaccinated. Oof.👀
#GetVaccinated https://t.co/KxVxxOmucQ",DougMDSueRN
2022-09-20 21:56:10+00:00,1572343889230499840,"Yes I understand that it's largely a genetic fallacy, but once I find out someone is an anti-vaxxer or COVID conspiracy pusher, I have a hard time taking them seriously in general. #getvaccinated💉#getboosted💉💪🩹",Frostinthepines
2022-09-20 21:56:02+00:00,1572343854539616257,Thanks @EricTopol for laying out the science and reality of our #covid19 situation @PublicHealth #CovidIsntOver #GetVaccinated #wearamask 😷 #healthforall https://t.co/DvEJmzSEb8,climate_salud
2022-09-20 21:34:37+00:00,1572338465198731267,"There is more to being a good #doctor than prescribing meds &amp; nailing the diagnosis. 
Sometimes its just a hug, taking few more mins to sit &amp; listen, even a simple handshake goes a long way today! #findthatbalance #doctoringinthepandemic #getvaccinated",drsajumathew
2022-09-20 20:44:05+00:00,1572325746693083136,@JoshShapiroPA Apparently it wasn’t when we were pushing for people to #GetVaccinated and #GetBoosted though.,TheAlextrifier
